ID,Name,Concepticon_ID,Concepticon_Gloss,Category
66_totieupfasten,"to tie up, fasten",1094,FASTEN,verbs
67_tosew,to sew,1457,SEW,verbs
68_needle,needle,1382,NEEDLE (FOR SEWING),other nouns
69_tohunt,to hunt,1435,HUNT,verbs
70_toshoot,to shoot,1172,SHOOT,verbs
71_tostabpierce,"to stab, pierce",1434,STAB,verbs
72_tohit,to hit,1433,HIT,verbs
73_tosteal,to steal,713,STEAL,verbs
74_tokill,to kill,1417,KILL,verbs
75_todiebedead,"to die, be dead",2101,BE DEAD OR DIE,verbs
76_tolivebealive,"to live, be alive",1422,BE ALIVE,verbs
77_toscratch,to scratch,1436,SCRATCH,verbs
78_tocuthack,"to cut, hack",3889,CUT OR HACK,verbs
79_stickwood,stick/wood,1295,STICK,other nouns
80_tosplit,to split,1437,SPLIT,verbs
81_sharp,sharp,1396,SHARP,adjectives
82_dullblunt,"dull, blunt",379,BLUNT,adjectives
83_towork,to work,1086,WORK (ACTIVITY),verbs
84_toplant,to plant,1486,PLANT (SOMETHING),verbs
85_tochoose,to choose,1750,CHOOSE,verbs
86_togrow,to grow,479,GROW,verbs
87_toswell,to swell,1573,SWELL,verbs
88_tosqueeze,to squeeze,1414,SQUEEZE,verbs
89_tohold,to hold,1448,HOLD,verbs
90_todig,to dig,1418,DIG,verbs
91_tobuy,to buy,1869,BUY,verbs
92_toopenuncover,"to open, uncover",1156,OPEN,verbs
93_topoundbeat,"to pound, beat",354,POUND,verbs
94_tothrow,to throw,1456,THROW,verbs
95_tofall,to fall,1280,FALL,verbs
96_dog,dog,2009,DOG,animals
97_bird,bird,937,BIRD,animals
98_egg,egg,744,EGG,animals
99_feather,feather,1201,FEATHER,body parts
100_wing,wing,1257,WING,body parts
101_tofly,to fly,1441,FLY (MOVE THROUGH AIR),verbs
102_rat,rat,1490,RAT,animals
103_meatflesh,meat/flesh,2615,FLESH OR MEAT,other nouns
104_fatgrease,fat/grease,323,FAT (ORGANIC SUBSTANCE),other nouns
105_tail,tail,1220,TAIL,body parts
106_snake,snake,730,SNAKE,animals
107_wormearthworm,worm (earthworm),1219,WORM,animals
108_louse,louse,1392,LOUSE,animals
109_mosquito,mosquito,1509,MOSQUITO,animals
110_spider,spider,843,SPIDER,animals
111_fish,fish,227,FISH,animals
112_rotten,rotten,1728,ROTTEN,adjectives
113_branch,branch,1531,BRANCH,plants
114_leaf,leaf,628,LEAF,plants
115_root,root,670,ROOT,plants
116_flower,flower,239,FLOWER,plants
117_fruit,fruit,1507,FRUIT,plants
118_grass,grass,606,GRASS,plants
119_earthsoil,earth/soil,1228,EARTH (SOIL),other nouns
120_stone,stone,857,STONE,other nouns
121_sand,sand,671,SAND,other nouns
122_water,water,948,WATER,other nouns
123_toflow,to flow,2003,FLOW,verbs
124_sea,sea,1474,SEA,other nouns
125_salt,salt,1274,SALT,other nouns
126_lake,lake,624,LAKE,other nouns
127_woodsforest,woods/forest,420,FOREST,other nouns
128_sky,sky,1732,SKY,other nouns
129_moon,moon,1313,MOON,other nouns
130_star,star,1430,STAR,other nouns
131_cloud,cloud,1489,CLOUD,other nouns
132_fog,fog,249,FOG,other nouns
133_rain,rain,658,RAIN (PRECIPITATION),other nouns
134_thunder,thunder,1150,THUNDER,other nouns
135_lightning,lightning,1654,LIGHTNING,other nouns
136_wind,wind,960,WIND,other nouns
137_toblow,to blow,175,BLOW (OF WIND),verbs
138_warm,warm,1232,WARM,adjectives
139_cold,cold,1287,COLD,adjectives
140_dry,dry,1398,DRY,adjectives
141_wet,wet,1726,WET,adjectives
142_heavy,heavy,1210,HEAVY,adjectives
143_fire,fire,221,FIRE,other nouns
144_toburn,to burn,2102,BURN,verbs
145_smoke,smoke,778,SMOKE (EXHAUST),other nouns
146_ashes,ashes,646,ASH,other nouns
147_black,black,163,BLACK,colors
148_white,white,1335,WHITE,colors
149_red,red,156,RED,colors
150_yellow,yellow,1424,YELLOW,colors
151_green,green,1425,GREEN,colors
152_small,small,1246,SMALL,adjectives
153_big,big,1202,BIG,adjectives
154_short,short,1645,SHORT,adjectives
155_long,long,1203,LONG,adjectives
156_thin,thin,2308,THIN,adjectives
157_thick,thick,1244,THICK,adjectives
158_narrow,narrow,1267,NARROW,adjectives
159_wide,wide,1243,WIDE,adjectives
160_painfulsick,"painful, sick",2103,PAINFUL OR SICK,adjectives
161_shyashamed,"shy, ashamed",3805,SHY OR ASHAMED,adjectives
162_old,old,1229,OLD,adjectives
163_new,new,1231,NEW,adjectives
164_good,good,1035,GOOD,adjectives
165_badevil,"bad, evil",3764,BAD OR EVIL,adjectives
166_correcttrue,"correct, true",1725,CORRECT (RIGHT),adjectives
167_night,night,1233,NIGHT,other nouns
168_day,day,1225,DAY (NOT NIGHT),other nouns
169_year,year,1226,YEAR,other nouns
170_when,when?,1238,WHEN,other
171_tohide,to hide,2486,HIDE,verbs
172_toclimb,to climb,1102,CLIMB,verbs
173_at,at,1461,AT,directions
174_ininside,"in, inside",1460,IN,directions
175_above,above,1741,ABOVE,directions
176_below,below,1485,BELOW OR UNDER,directions
177_this,this,1214,THIS,other
178_that,that,78,THAT,other
179_near,near,1942,NEAR,adjectives
180_far,far,1406,FAR,adjectives
181_where,where?,1237,WHERE,other
182_i,I,1209,I,people
183_thou,thou,1215,THOU,people
184_heshe,he/she,2642,HE OR SHE,people
185_we,we,1212,WE,people
186_you,you,1213,YOU,people
187_they,they,817,THEY,people
188_what,what?,1236,WHAT,other
189_who,who?,1235,WHO,other
190_other,other,197,OTHER,other
191_all,all,98,ALL,other
192_and,and,1577,AND,other
193_if,if,1459,IF,other
194_how,how?,1239,HOW,other
195_nonot,"no, not",2279,NO OR NOT,other
196_tocount,to count,1420,COUNT,verbs
197_one,One,1493,ONE,numbers
198_two,Two,1498,TWO,numbers
199_three,Three,492,THREE,numbers
200_four,Four,1500,FOUR,numbers
201_five,Five,493,FIVE,numbers
202_six,Six,1703,SIX,numbers
203_seven,Seven,1704,SEVEN,numbers
204_eight,Eight,1705,EIGHT,numbers
205_nine,Nine,1483,NINE,numbers
206_ten,Ten,1515,TEN,numbers
207_twenty,Twenty,1710,TWENTY,numbers
208_fifty,Fifty,1717,FIFTY,numbers
209_onehundred,One Hundred,1634,HUNDRED,numbers
210_onethousand,One Thousand,1843,THOUSAND,numbers
