ID,Name,Concepticon_ID,Concepticon_Gloss,Category
1_hand,hand,1277,HAND,body parts
2_left,left,244,LEFT,directions
3_right,right,1019,RIGHT,directions
4_legfoot,leg/foot,2098,FOOT OR LEG,body parts
5_towalk,to walk,1443,WALK,verbs
6_roadpath,road/path,2457,PATH OR ROAD,other nouns
7_tocome,to come,1446,COME,verbs
8_toturn,to turn,1588,TURN,verbs
9_toswim,to swim,1439,SWIM,verbs
10_dirty,dirty,1230,DIRTY,adjectives
11_dust,dust,2,DUST,other nouns
12_skin,skin,763,SKIN,body parts
13_back,back,1291,BACK,body parts
14_belly,belly,1251,BELLY,body parts
15_bone,bone,1394,BONE,body parts
16_intestines,intestines,1991,INTESTINES,body parts
17_liver,liver,1224,LIVER,body parts
18_breast,breast,1402,BREAST,body parts
19_shoulder,shoulder,1482,SHOULDER,body parts
20_toknowbeknowledgeable,"to know, be knowledgeable",1410,KNOW (SOMETHING),verbs
21_tothink,to think,2271,THINK,verbs
22_tofear,to fear,1419,FEAR (BE AFRAID),verbs
23_blood,blood,946,BLOOD,body parts
24_head,head,1256,HEAD,body parts
25_neck,neck,1333,NECK,body parts
26_hair,hair,1040,HAIR,body parts
27_nose,nose,1221,NOSE,body parts
28_tobreathe,to breathe,1407,BREATHE,verbs
29_tosniffsmell,"to sniff, smell",1586,SMELL (PERCEIVE),verbs
30_mouth,mouth,674,MOUTH,body parts
31_tooth,tooth,1380,TOOTH,body parts
32_tongue,tongue,1205,TONGUE,body parts
33_tolaugh,to laugh,1355,LAUGH,verbs
34_tocry,to cry,1839,CRY,verbs
35_tovomit,to vomit,1278,VOMIT,verbs
36_tospit,to spit,1440,SPIT,verbs
37_toeat,to eat,1336,EAT,verbs
38_tochew,to chew,321,CHEW,verbs
39_tocook,to cook,1100,COOK (SOMETHING),verbs
40_todrink,to drink,1401,DRINK,verbs
41_tobite,to bite,1403,BITE,verbs
42_tosuck,to suck,1421,SUCK,verbs
43_ear,ear,1247,EAR,body parts
44_tohear,to hear,1408,HEAR,verbs
45_eye,eye,1248,EYE,body parts
46_tosee,to see,1409,SEE,verbs
47_toyawn,to yawn,1028,YAWN,verbs
48_tosleep,to sleep,1585,SLEEP,verbs
49_toliedown,to lie down,215,LIE DOWN,verbs
50_todream,to dream,1920,DREAM (SOMETHING),verbs
51_tosit,to sit,1416,SIT,verbs
52_tostand,to stand,1442,STAND,verbs
53_personhumanbeing,person/human being,683,PERSON,people
54_manmale,man/male,2106,MALE PERSON,people
55_womanfemale,woman/female,2105,FEMALE PERSON,people
56_child,child,2099,CHILD,people
57_husband,husband,1200,HUSBAND,people
58_wife,wife,1199,WIFE,people
59_mother,mother,1216,MOTHER,people
60_father,father,1217,FATHER,people
61_house,house,1252,HOUSE,other nouns
62_thatchroof,thatch/roof,2100,THATCH OR ROOF,other nouns
63_name,name,1405,NAME,people
64_tosay,to say,1458,SAY,verbs
65_rope,rope,1218,ROPE,other nouns
