LanguageID,Source
1,Denes-1-2005
2,157306
3,124789
4,lincoln1975a
5,Theddon-5-2005
6,Banta-6-2005
7,134622
8,Collins-8-2005
9,85830
10,Teljeur-10-2005
11,120166
12,Machmoed-12-2005
13,146364
14,Syamsuddin-14-2005
15,Blust-15-2005
16,Collins-16-2005
17,Collins-17-2005
18,38174
19,106213
20,Suyata-20-2005
21,85830
22,Prentice-22-2005
23,Laycock-23-2005
24,121185
24,Laycock1965
25,20301
26,119011
27,Berg-27-2005
28,41604
29,Usup-29-2005
30,Wivell-30-2005
31,136553
32,150485
33,forman1971a
33,h-McFarland-Northern-Philippine
34,Fernandes-34-2005
35,Blust-35-2005
36,136553
37,Blust-37-2005
38,POLLEX
39,Laycock-39-2005
40,GraceNB
41,Lapotiwa-41-2005
42,Blust-42-2005
43,Zorc-43-2005
44,85830
45,Blust-45-2005
46,GraceBiga
47,Daniega-47-2005
48,Taha-48-2005
49,64947
50,Collins-50-2005
51,38225
52,71458
53,Collins-53-2005
54,85830
55,GraceNB
56,Throop-56-2005
57,GraceNB
58,POLLEX
59,Collins-59-2005
60,Blust-60-2005
61,100844
62,Blust-62-2005
63,Nikelas-63-2005
64,POLLEX
65,61642
66,127160
67,Brunn-67-2005
68,82675
69,Blust-69-2005
70,66632
71,Blust-71-2005
72,Blust-72-2005
73,Blust-73-2005
74,Blust-74-2005
75,80269
75,safioedin1977
76,Bril-76-2005
77,20421
78,72358
79,92079
80,Collins-80-2005
81,85830
82,Anonymous-82-2005
83,26070
84,478432
85,Biggs-85-2005
86,142538
87,85830
88,Collins-88-2005
89,Kavana-89-2005
90,Blust-90-2005
91,Rath-91-2005
92,110341
92,81814
93,GraceNB
94,Ross-94-2005
95,59047
96,Blust-96-2005
97,kayser1993a
98,Kenneth-98-2005
99,Blust-99-2005
100,96970
101,Collins-101-2005
102,68998
103,schuetz1969a
103,schuetz1969b
104,Blust-104-2005
105,162270
105,mayr1931a
106,27061
107,Mulkan-107-2005
108,Crowley-108-2005
109,134202
110,59437
111,Tryon-111-2005
112,Collins-112-2005
113,Walsh-113-2005
114,Endarwati-114-2005
115,50012
116,Schmidt-116-2005
117,319882
118,Blust-118-2005
119,Blust-119-2005
120,d_Parker_Southeast-Ambrym
121,Blust-121-2005
122,Blust-122-2005
123,152885
124,meyer1937a
125,319956
126,GraceNB
126,144702
127,13534
128,Meyer-128-2005
129,Ross-129-2005
130,Clark-130-2005
131,43084
132,GraceNB
133,136553
134,9036
135,301176
136,117207
137,Karisoh-137-2005
138,61369
139,85830
140,Ross-140-2005
141,158598
142,61752
143,Collins-143-2005
144,136553
145,121185
145,van1915a
146,Blust-146-2005
147,Penelitian-147-2005
148,Blust-148-2005
149,Lynch-149-2005
150,Adul-150-2005
151,Mastin-151-2005
152,Salisbury-152-2005
153,Go-153-2005
154,JRTurangan-154-2005
155,POLLEX
156,POLLEX
157,136553
158,Durasia-158-2005
159,Moguna-159-2005
160,59437
160,137430
161,Walker-161-2005
162,Lynch-162-2005
163,POLLEX
164,Dutton-164-2005
165,Davani-165-2005
166,Rajab-166-2005
167,fox-a
168,Blust-168-2005
169,Blust-169-2005
170,Kakerissa-170-2005
171,Blust-171-2005
172,Hana-172-2005
173,Clark-173-2005
174,Anonymous-174-2005
175,Anonymous-175-2005
176,Johnston-176-2005
177,86263
178,Mitir-178-2005
179,158369
180,GraceNB
181,Guerreiro-181-2005
182,Laycock-182-2005
183,127733
184,85830
185,Austin-185-2005
186,GraceNB
186,Walker-186-2005
187,Spriggs-187-2005
188,Sihotang-188-2005
189,7677
190,Collins-190-2005
191,85830
192,309688
193,Salcedo-193-2005
194,7931
194,59437
195,Rousseau-195-2005
196,85830
197,Collins-197-2005
198,Anonymous-198-2005
199,Florey-199-2005
200,134664
200,pack1975a
200,molony1969a
201,Anonymous-201-2005
202,Ferrell69
203,Ferrell69
204,Mbete-204-2005
205,LakeIdo-205-2005
206,POLLEX
207,GraceNB
208,86248
209,118627
210,POLLEX
211,Blust-211-2005
212,122134
213,Gegeo-213-2005
214,Junaiyah-214-2005
215,312062
216,87678
217,POLLEX
218,39971
219,Chowning-219-2005
220,Miria-Tairea-220-2005
221,58279
222,Ross-222-2005
223,Foanaota-223-2005
224,Lincoln-224-2005
225,Ross-225-2005
226,21023
227,162411
228,Lynch-228-2005
229,POLLEX
230,Guy-230-2005
231,Bradshaw-231-2005
232,Guerreiro-232-2005
233,67091
234,85830
235,POLLEX
236,Apelaby-236-2005
237,Blust-237-2005
238,POLLEX
239,POLLEX
240,163707
241,180926
242,POLLEX
243,POLLEX
244,POLLEX
245,POLLEX
246,POLLEX
247,POLLEX
248,46500
249,46500
250,46500
251,46500
252,46500
253,POLLEX
254,Ferrell69
255,Ferrell69
256,Ferrell69
257,Ferrell69
258,POLLEX
259,POLLEX
260,Ferrell69
261,POLLEX
262,Moody-262-2005
263,Chuchu-263-2005
264,POLLEX
265,136553
266,Ferrell69
267,160573
268,160573
269,160573
270,160573
271,Ferrell69
272,Ferrell69
273,Ferrell69
274,Ferrell69
275,Ferrell69
276,Ferrell69
277,Llamzon-277-2005
278,Collins-278-2005
279,Family-279-2005
280,149004
281,152885
282,152885
283,Suyata-283-2005
284,Oekon-284-2005
285,100250
286,8526
287,8526
288,Blust-288-2005
289,46500
290,320643
291,14536
292,14536
293,14536
294,Anonymous-294-2005
295,110693
296,110693
297,110693
298,110693
299,110693
300,110693
301,110693
302,110693
303,110693
304,110693
305,110693
306,110693
307,110693
308,110693
309,110693
310,110693
311,110693
312,110693
313,110693
314,110693
315,110693
316,110693
317,Asplund-317-2005
318,Asplund-318-2005
319,Asplund-319-2005
320,Asplund-320-2005
321,Asplund-321-2005
322,101432
323,Asplund-323-2005
324,Asplund-324-2005
325,Asplund-325-2005
326,Asplund-326-2005
327,Asplund-327-2005
328,Asplund-328-2005
329,Asplund-329-2005
330,Asplund-330-2005
331,468510
332,110693
333,Anderbeck-333-2005
334,64760
335,Rau-335-2005
336,304886
337,304886
338,304886
339,304886
340,304886
341,Asplund-341-2005
342,304886
343,304886
344,304886
345,304886
346,TrusselGroves1978
347,304886
348,304886
349,304886
349,36728
350,Liu-350-2005
351,Sagart-351-2005
352,85830
352,314442
353,85830
353,314442
354,85830
